Expense Category,Ideal Proportion,Spent Proportion,Result
4,0.2,0.21,negative
1,0.1,0.12,negative
1,0.1,0.12,negative
0,0.3,0.3,positive
2,0.15,0.15,positive
3,0.1,0.09,positive
3,0.1,0.09,positive
1,0.1,0.1,positive
2,0.15,0.16,negative
5,0.15,0.17,positive
1,0.1,0.11,negative
3,0.1,0.11,negative
5,0.15,0.15,positive
4,0.2,0.21,negative
1,0.1,0.11,negative
0,0.3,0.3,positive
0,0.3,0.3,positive
5,0.15,0.15,positive
0,0.3,0.3,positive
1,0.1,0.12,negative
3,0.1,0.09,positive
4,0.2,0.19,positive
1,0.1,0.09,positive
5,0.15,0.14,negative
1,0.1,0.09,positive
2,0.15,0.14,positive
5,0.15,0.16,positive
5,0.15,0.17,positive
5,0.15,0.15,positive
2,0.15,0.15,positive
2,0.15,0.14,positive
1,0.1,0.1,positive
1,0.1,0.1,positive
3,0.1,0.09,positive
3,0.1,0.12,negative
5,0.15,0.16,positive
1,0.1,0.08,positive
5,0.15,0.15,positive
5,0.15,0.12,negative
1,0.1,0.1,positive
3,0.1,0.08,positive
1,0.1,0.1,positive
5,0.15,0.13,negative
4,0.2,0.18,positive
0,0.3,0.31,negative
2,0.15,0.13,positive
1,0.1,0.1,positive
2,0.15,0.18,negative
3,0.1,0.1,positive
5,0.15,0.15,positive
0,0.3,0.32,negative
4,0.2,0.25,negative
4,0.2,0.2,positive
0,0.3,0.29,positive
4,0.2,0.18,positive
0,0.3,0.29,positive
0,0.3,0.3,positive
0,0.3,0.31,negative
4,0.2,0.2,positive
1,0.1,0.1,positive
2,0.15,0.14,positive
2,0.15,0.13,positive
4,0.2,0.22,negative
0,0.3,0.32,negative
1,0.1,0.1,positive
5,0.15,0.15,positive
1,0.1,0.1,positive
5,0.15,0.13,negative
0,0.3,0.29,positive
2,0.15,0.15,positive
1,0.1,0.12,negative
5,0.15,0.13,negative
3,0.1,0.12,negative
4,0.2,0.21,negative
3,0.1,0.09,positive
0,0.3,0.26,positive
3,0.1,0.08,positive
3,0.1,0.12,negative
1,0.1,0.09,positive
5,0.15,0.15,positive
5,0.15,0.13,negative
4,0.2,0.2,positive
4,0.2,0.2,positive
4,0.2,0.19,positive
0,0.3,0.28,positive
4,0.2,0.2,positive
1,0.1,0.09,positive
3,0.1,0.09,positive
4,0.2,0.21,negative
5,0.15,0.13,negative
1,0.1,0.08,positive
4,0.2,0.2,positive
2,0.15,0.15,positive
2,0.15,0.18,negative
0,0.3,0.32,negative
0,0.3,0.28,positive
5,0.15,0.17,positive
3,0.1,0.1,positive
3,0.1,0.11,negative
1,0.1,0.1,positive
0,0.3,0.3,positive
0,0.3,0.31,negative
0,0.3,0.28,positive
5,0.15,0.14,negative
1,0.1,0.12,negative
4,0.2,0.18,positive
4,0.2,0.2,positive
4,0.2,0.2,positive
5,0.15,0.13,negative
2,0.15,0.13,positive
5,0.15,0.13,negative
3,0.1,0.08,positive
5,0.15,0.16,positive
2,0.15,0.15,positive
1,0.1,0.1,positive
2,0.15,0.18,negative
2,0.15,0.14,positive
5,0.15,0.13,negative
0,0.3,0.26,positive
2,0.15,0.15,positive
2,0.15,0.14,positive
2,0.15,0.14,positive
0,0.3,0.3,positive
4,0.2,0.18,positive
4,0.2,0.2,positive
3,0.1,0.11,negative
2,0.15,0.16,negative
3,0.1,0.09,positive
0,0.3,0.3,positive
2,0.15,0.15,positive
2,0.15,0.15,positive
0,0.3,0.29,positive
2,0.15,0.15,positive
1,0.1,0.09,positive
0,0.3,0.28,positive
2,0.15,0.16,negative
4,0.2,0.25,negative
3,0.1,0.09,positive
0,0.3,0.26,positive
3,0.1,0.11,negative
1,0.1,0.1,positive
5,0.15,0.15,positive
0,0.3,0.32,negative
3,0.1,0.1,positive
4,0.2,0.25,negative
1,0.1,0.1,positive
5,0.15,0.16,positive
0,0.3,0.29,positive
4,0.2,0.2,positive
0,0.3,0.32,positive
2,0.15,0.13,positive
5,0.15,0.14,negative
3,0.1,0.1,positive
1,0.1,0.11,negative
2,0.15,0.14,positive
3,0.1,0.1,positive
3,0.1,0.08,positive
2,0.15,0.15,positive
4,0.2,0.18,positive
5,0.15,0.13,negative
3,0.1,0.1,positive
3,0.1,0.11,negative
2,0.15,0.15,positive
2,0.15,0.13,positive
4,0.2,0.19,positive
1,0.1,0.08,positive
0,0.3,0.28,positive
5,0.15,0.16,positive
3,0.1,0.1,positive
3,0.1,0.1,positive
4,0.2,0.22,negative
4,0.2,0.2,positive
4,0.2,0.21,negative
